Loading gnu/11.2.0
  Loading requirement: binutils/11.2.0
Error in cpuinfo: prctl(PR_SVE_GET_VL) failed
Sliding Window Attention is enabled but not implemented for `sdpa`; unexpected results may be encountered.
Baseline model: 494,032,768 params (all trainable)
data  train=54473  val=3000
epoch 1/3  step 3180/13619  loss=0.3814  lr=1.98e-05
epoch 1/3  step 3190/13619  loss=0.2828  lr=1.98e-05
epoch 1/3  step 3200/13619  loss=0.2396  lr=1.98e-05
epoch 1/3  step 3210/13619  loss=0.3911  lr=1.98e-05
epoch 1/3  step 3220/13619  loss=0.3487  lr=1.98e-05
epoch 1/3  step 3230/13619  loss=0.3973  lr=1.98e-05
epoch 1/3  step 3240/13619  loss=0.4018  lr=1.98e-05
epoch 1/3  step 3250/13619  loss=0.2716  lr=1.98e-05
epoch 1/3  step 3260/13619  loss=0.3952  lr=1.98e-05
epoch 1/3  step 3270/13619  loss=0.3478  lr=1.98e-05
epoch 1/3  step 3280/13619  loss=0.2336  lr=1.98e-05
epoch 1/3  step 3290/13619  loss=0.2605  lr=1.98e-05
epoch 1/3  step 3300/13619  loss=0.3744  lr=1.98e-05
epoch 1/3  step 3310/13619  loss=0.2239  lr=1.98e-05
epoch 1/3  step 3320/13619  loss=0.3317  lr=1.98e-05
epoch 1/3  step 3330/13619  loss=0.3898  lr=1.98e-05
epoch 1/3  step 3340/13619  loss=0.3254  lr=1.98e-05
epoch 1/3  step 3350/13619  loss=0.3216  lr=1.98e-05
epoch 1/3  step 3360/13619  loss=0.1594  lr=1.98e-05
epoch 1/3  step 3370/13619  loss=0.3839  lr=1.98e-05
epoch 1/3  step 3380/13619  loss=0.3114  lr=1.98e-05
epoch 1/3  step 3390/13619  loss=0.3853  lr=1.98e-05
epoch 1/3  step 3400/13619  loss=0.1705  lr=1.98e-05
epoch 1/3  step 3410/13619  loss=0.1479  lr=1.98e-05
epoch 1/3  step 3420/13619  loss=0.3930  lr=1.98e-05
epoch 1/3  step 3430/13619  loss=0.1851  lr=1.98e-05
epoch 1/3  step 3440/13619  loss=0.3287  lr=1.98e-05
epoch 1/3  step 3450/13619  loss=0.3080  lr=1.98e-05
epoch 1/3  step 3460/13619  loss=0.4003  lr=1.98e-05
epoch 1/3  step 3470/13619  loss=0.3360  lr=1.98e-05
epoch 1/3  step 3480/13619  loss=0.3224  lr=1.98e-05
epoch 1/3  step 3490/13619  loss=0.2287  lr=1.98e-05
epoch 1/3  step 3500/13619  loss=0.2490  lr=1.98e-05
epoch 1/3  step 3510/13619  loss=0.2832  lr=1.98e-05
